qqr_latin	qqr_kirill	ruscha
attırıw	аттырыў	и. д. от - аттыр-;
atshoqay	атшоқай	название дикорасту
atızlıq	атызлық	место, изобйлующее
atılıw	атылыў	и. д. от - атыл-;
atılıwǵa	атылыўға	ҳуким етил- быть при
aw	аў	сеть для ловли - леща; сазан
ǵasın	ғасын	аў сеть с грузилами из - свинца; 2) охота; аў аўла- охо
aw-	аў-	1) свешиваться на одну
awdı	аўды	перевалило за - полдень;
awajaq	аўажақ	көринеди дело как будто
awǵan	аўған	жаққа куда глаза глядят
awa	аўа	м - еж д., выраж ающ ее согла
awaz	аўаз	см. ҳаўаз
awaza	аўаза	1) эхо, отголосок; 2)
qanǵa	қанға	жетти весть о его славе
awan	аўан	намерение, желание, рас
awdacla-	аўдацла-	двйгаться - неуклюже
awdaclaǵısh	аўдацлағыш	неустойчивый;
awdaqlaw	аўдақлаў	и. д. - от аўдацланеуклюжее, неповоротливое дви
awdar-	аўдар-	1) перевёртывать
awdarma	аўдарма	переводной; аўдарма
awdart-	аўдарт-	понуд. - от аўдар- I)
awdarıs-	аўдарыс-	взаим н. от - аудар- - 1) помогать перевёртывать, опро
awdarıspaq	аўдарыспақ	уст . переворот;
awdarısıw	аўдарысыў	и. д. от аўдарыс
awdarıw	аўдарыў	и. д. от аўдар
awditoriya	аўдитория	в разн. знач. ауди - тория; биринши курс аўдиториясы аудитория первого курса;
tayarlanǵan	таярланған	аўдиторияға лекция
oqı-	оқы-	читать лекцию подготов
awdır-	аўдыр-	понуд. - от аў -1) опроки
awdırıw	аўдырыў	и. д. - от аўдыр- - 1)
awqam	аўқам	!) союз; объединение;
awqamlıq	аўқамлық	союзный
awqat	аўқат	1) пйща, пропитание;
awqatı	аўқаты	нашар он живёт - бедно;
awkat	аўкат	ужин
awqatlan-	аўқатлан-	есть, кушать
awqatlanıs-	аўқатланыс-	взаим н. от аўқатлан- есть вместе с - кем-л.-, аўқатланысып кет- покушать вместе
awqatlanısıw	аўқатланысыў	и. д. от аўқатланыс
awqatlanıw	аўқатланыў	и. д. от аўқатлан- процесс еды
awqatlı	аўқатлы	зажйточный, состоя
awqatlılıq	аўқатлылық	зажйточность, со
awlaq	аўлақ	1) дальний, далёкий
awlaqla-	аўлақла-	удалять, отдалять
awlaklan-	аўлаклан-	ст - рад, от аўлақлаудаляться, отдаляться; быть уда
awlaqlat-	аўлақлат-	понуд. от аўлақлазаставить - удалять, отдалять
awlaqlatıw	аўлақлатыў	и. д. - от аўлақлатудалёние, отдаление
awlaqlaw	аўлақлаў	и. д. - от аўлақлаудалёние, отдаление
awlaqshılıq	аўлақшылық	1) отдалённость
awlas-	аўлас-	взаим н. от аўла- по
awlat-	аўлат-	понуд. от аўла- за
iúlagtır-	иүлагтыр-	понуд. от аўлат
nwllgıw	нўллгыў	и. д. от аўлат- - ловля
awlaw	аўлаў	и. д. от аўла- - ловля, охбш; оалық аўлаў рыбная ловля
iwlıq	иўлық	предназначенный - для
awma	аўма	1) сваливающийся набок;
awmaqay	аўмақай	безвольный, слабонбльиый; изменчивый, неустойчи
awmaqaylıq	аўмақайлық	безволие; измен
awmas	аўмас	волевой - человек, человёк с твёрдой волей
awmas-	аўмас-	1) обмениваться чем-л.\
awmastan	аўмастан	неуклонно, твёрдо
awmastır-	аўмастыр-	понуд. - от аўмас- - 1) обменивать, заменять одно
awmastırıw	аўмастырыў	и. д. - от аўмастыр- - 1) замена одного другйм; 2)
awmasıq	аўмасық	1) обмен, перемена;
awmasıw	аўмасыў	и. д. - от аўмас- - 1)
awna-	аўна-	1) валяться {на т раве
qalar	қалар	погов. аг шила в мешке
awnaq	аўнақ	место стоянки скота в
awnat-	аўнат-	понуд. - от аўна- 11
awnatqız-	аўнатқыз-	понуд. - от аўнат- - 1) заставить валять чт о-л. по
awnaw	аўнаў	и. д. от аўна
awruw	аўруў	болезнь, заболевание
awruwlı	аўруўлы	1) больной; 2) болез
awruwxana	аўруўхана	больнйца
awruwshılıq	аўруўшылық	болезненность
awsıl	аўсыл	ящур
awshı	аўшы	1) охотник, птицелов
awshılık	аўшылык	1) охота, охотничий
awız	аўыз	1) рот; пасть; оймақ аўыз
-awzına	-аўзына	жуқпайды быстро говорйть; аўзыца алма не говорй;
awzınan	аўзынан	тусирмейди у него с
qum	қум	қуйылғандай он как воды
juwap	жуўап	берди он небрежно бро
awzıcdı	аўзыцды	жый- - замолчать, пере
awzı	аўзы	дўло - ружья; 4) горлышко
awızba-awız	аўызба-аўыз	наедине, с глазу
awızǵı	аўызғы	находящийся у - входа;
awızdan-awızǵa	аўыздан-аўызға	из уст в - уста
awızeki	аўызеки	устно, словесно, на
awızlan-	аўызлан-	брать в рот - сосок
awızlandır-	аўызландыр-	понуд. от аўызлан- сунуть в - рот, дать в рот
awızlandırıw	аўызландырыў	и. д. от аўызландыр
awızlanıw	аўызланыў	и. д. - от. аўызлан
awızlı	аўызлы	1) большеротый; 2)
awızlıq	аўызлық	удила; аўызлық тисле- закусйть удила; аўызлығы
awızlıqla-	аўызлықла-	1) взнуздать {ло
awızlıqlat-	аўызлықлат-	понуд. - от аўызЛықла- - 1) заставить взнуздать
awıq	аўық	склонённый, переве
awıljıw	аўылжыў	и. д. - от аўылжы- - 1) сердцебиение; 2) головокру
awıl-qıslaw	аўыл-қыслаў	собир. разные се - ления, населённые пункты
awılla-	аўылла-	ездить по - аулам
awıllas	аўыллас	одноаўлец, односель
awıllaslıq	аўылласлық	соседство
awıllat-	аўыллат-	понуд. от аўыллазаставить ездить - по аўлам
awıllıq	аўыллық	аўльный; сельский;
awıcqıra-	аўыцқыра-	накреийться; еси
awıcqırap	аўыцқырап	қалған он втал в
awır	аўыр	1) в разн. знай, тяжёлый;
awır-	аўыр-	болеть, хворать
awırǵan	аўырған	1) заболевший; 2)
sırqaslanǵan	сырқасланған	жер больное мес - то
awırla-	аўырла-	1) испытывать тя
awırlan-	аўырлан-	возвр.-ст рад. от
awırlat-	аўырлат-	понуд. от - ауырла- - 1) заставить испытать тяжесть
iwı	иўы	65 ашт
pwırlittır-	пўырлиттыр-	понуд. от аўырлиг
nwırlatıw	нўырлатыў	и. д. от аўырлат
nwırlaw	нўырлаў	и. д. - от аўырла
awmrlıǵı	аўмрлығы	бес пут весом в пять - пудои; 2) трудность; тягота, тя
awırlıqsız	аўырлықсыз	1) лёгкий, нетя
awırsınıw	аўырсыныў	и. д. от ауыр
awırtpaytuǵın	аўыртпайтуғын	безболезнен
